name,lat,lon,odo1,odo2,odo3,hgt,odo
8750,24.0147788,72.38269532,24228,40775,40805,87,40805
8760,24.01484995,72.38271268,24248,40807,40837,87,40837
8770,24.01495487,72.38273778,24277,40854,40884,87,40884
8780,24.01505558,72.38276217,24302,40899,40929,87,40929
8790,24.01516449,72.38278979,24336,40948,40978,87,40978
8800,24.01526449,72.38281609,24365,40993,41023,87,41023
8810,24.01537511,72.38284606,24406,41043,41073,87,41073
8820,24.01548105,72.38287303,24453,41091,41121,87,41121
8830,24.0155902,72.3829005,24498,41140,41170,87,41170
8840,24.01569916,72.38292767,24536,41189,41220,87,41220
8850,24.01580387,72.3829537,24573,41236,41267,87,41267
8860,24.01590883,72.3829801,24608,41283,41314,87,41314
8870,24.01601431,72.38300684,24633,41330,41362,87,41362
8880,24.01611928,72.38303358,24658,41377,41409,87,41409
8890,24.01622397,72.38306075,24691,41425,41457,87,41457
8900,24.01632921,72.38308814,24735,41472,41504,87,41504
8910,24.01642516,72.38311333,24765,41515,41548,87,41548
8920,24.01652933,72.38313986,24804,41562,41595,87,41595
8930,24.01663324,72.38316684,24838,41609,41642,87,41642
8940,24.01673723,72.38319606,24876,41656,41689,87,41689
8950,24.01684578,72.38322604,24922,41705,41739,87,41739
8960,24.01695014,72.38325489,24967,41753,41786,87,41786
8970,24.01705843,72.38328445,25008,41802,41835,87,41835
8980,24.01716267,72.38331283,25051,41849,41883,87,41883
8990,24.01727111,72.38334222,25094,41898,41932,87,41932
9000,24.01737464,72.38337016,25135,41945,41979,87,41979
9010,24.01747292,72.38339743,25179,41989,42024,87,42024
9020,24.01757315,72.38342674,25223,42035,42069,87,42069
9030,24.01768156,72.38346003,25272,42084,42119,87,42119
9040,24.01778441,72.38349168,25319,42131,42166,87,42166
9050,24.01788633,72.38352241,25365,42177,42213,87,42213
9060,24.01799112,72.3835644,25415,42226,42261,87,42261
9070,24.01808752,72.38362626,25463,42275,42310,87,42310
9080,24.01817156,72.38370638,25511,42324,42359,87,42359
9090,24.01823841,72.38380392,25558,42373,42408,87,42408
9100,24.01829355,72.38390446,25595,42420,42455,87,42455
9110,24.01834825,72.38400801,25641,42468,42503,87,42503
9120,24.01840132,72.38410976,25688,42515,42550,87,42550
9130,24.01845449,72.38421083,25726,42562,42597,87,42597
9140,24.0185099,72.38431599,25759,42611,42646,87,42646
9150,24.01856545,72.3844218,25790,42660,42695,87,42695
9160,24.01862144,72.38452693,25821,42709,42744,87,42744
9170,24.01865743,72.38459512,25847,42741,42776,87,42776
9180,24.01871017,72.38469585,25894,42788,42822,87,42822
9190,24.01876448,72.38480005,25933,42836,42871,87,42871
9200,24.01881791,72.38490161,25971,42883,42918,87,42918
9210,24.01887112,72.38500181,26002,42930,42964,87,42964
9220,24.01892788,72.38510686,26033,42979,43013,87,43013
9230,24.01899347,72.38519951,26070,43026,43060,87,43060
9240,24.01907682,72.3852736,26110,43073,43108,87,43108
9250,24.01917361,72.38532551,26157,43121,43155,87,43155
9260,24.0192778,72.38535483,26204,43168,43202,87,43202
9270,24.01938826,72.3853751,26253,43217,43251,87,43251
9280,24.01946474,72.38538922,26287,43251,43285,87,43285
9290,24.01957087,72.38540884,26334,43298,43332,87,43332
9300,24.01966857,72.38542732,26378,43342,43376,87,43376
9310,24.01977452,72.38544829,26425,43389,43423,87,43423
9320,24.01988381,72.38547055,26474,43438,43472,87,43472
9330,24.01998524,72.38549147,26519,43483,43518,87,43518
9340,24.02009151,72.38551307,26567,43530,43565,87,43565
9350,24.02020156,72.38553536,26616,43580,43614,87,43614
9360,24.02030716,72.38555659,26662,43627,43661,87,43661
9370,24.02041305,72.38557784,26709,43674,43709,87,43709
9380,24.02052325,72.38560004,26759,43723,43758,87,43758
9390,24.02063195,72.38562829,26797,43772,43807,87,43807
9400,24.02073832,72.38566675,26822,43821,43856,87,43856
9410,24.02084043,72.38570329,26845,43868,43903,87,43903
9420,24.02094283,72.38573979,26869,43915,43950,87,43950
9430,24.0210496,72.3857779,26891,43964,43999,87,43999
9440,24.02115336,72.3858079,26911,44011,44046,87,44046
9450,24.02126073,72.38581457,26935,44058,44092,87,44092
9460,24.02137247,72.3858141,26958,44107,44141,87,44141
9470,24.0214779,72.38581328,26981,44153,44187,87,44187
9480,24.02158903,72.38582283,26997,44202,44235,87,44235
9490,24.02168992,72.38583963,27018,44247,44280,87,44280
9500,24.02171552,72.38584376,27023,44258,44292,87,44292
9510,24.02181816,72.38586011,27050,44303,44337,87,44337
9520,24.02192424,72.38587703,27074,44350,44384,87,44384
9530,24.02203081,72.38589452,27099,44398,44431,87,44431
9540,24.02213261,72.38591244,27121,44443,44476,87,44476
9550,24.02223825,72.38593222,27145,44490,44523,87,44523
9560,24.02234268,72.38595282,27168,44536,44570,87,44570
9570,24.02245189,72.38597431,27201,44585,44618,87,44618
9580,24.0225571,72.3859954,27233,44632,44665,87,44665
9600,24.02277642,72.3860376,27289,44730,44763,87,44763
9610,24.02288244,72.38605796,27319,44777,44810,87,44810
9620,24.02298792,72.38607847,27344,44824,44857,87,44857
9630,24.0230968,72.38609965,27374,44872,44905,87,44905
